OOC,TON,AIM,statute,OOC_new
responsiblity of clean up,toxic waste disposal,hazardous waste clean up,"cercla, rcra",waste & pollution
retention of water rights,river,comply with state law,rcra,waste & pollution
rinseates,toxic waste,violations of rcra and fifra,"rcra, fifra",waste & pollution
rio grande project,river%reservoir%tributary%basin,obtain water rights,rcra,waste & pollution
river contamination,river,establish liability,cercla,waste & pollution
river contamination from manufacturing yard,river%wetland%pier%groundwater%soil,stop water pollution,nepa,waste & pollution
roads and immigration buildings,conservation areas,stop construction,"nepa, caa, mbta, sdwa, nca, sdwa, rcra, flpma, fwca, antiquities act, wsra",waste & pollution
rocky mountain arsenal cleanup and litigation,pollution,recover response costs,cercla,waste & pollution
rose township superfund site,toxic waste,recover clean up costs,cercla,waste & pollution
roundup herbicide,toxic waste%land%flora,stop false advertising,fifra,waste & pollution
runoff flows caused by spillway,water%river,closing of spillway,nepa,waste & pollution
runoff from superfund site,water%toxic waste disposal,stop runoff,cercla,waste & pollution
runoff into ocean,pacific ocean,stop pollution,cwa,waste & pollution
runoff into the lake from construction of drains,toxic waste disposal%lake,recover cleanup costs,cwa,waste & pollution
runoff on their properties,water%land%pollution,stop impeding of runoff on their properties,cwa,waste & pollution
ruptured tank,land%toxic waste,recover clean up costs and clean up waste,cercla,waste & pollution
safe drinking water,water,force compliance,"sdwa, cwa, rcra",waste & pollution
sale of chemical plant,pollution%air,challenge breach of contract,caa,waste & pollution
sale of gasoline additive,toxic waste disposal%groundwater,recover damages%seek relief from contamination,"energy policy act, caa",waste & pollution
sale of water to non-residents,water%ag-fauna%ag-flora,enforce regulations,rcra,waste & pollution
salem site,clean water%open space%soil,stop dumping,rcra,waste & pollution
salmonids found in water transfer,water%river,stop water transfer,esa,waste & pollution
salt river federal reclamation project,river%water supply,determine property ownership,"cwa, rcra",waste & pollution
salvage yard,soil,recover compensation and stop use of salvage yard,cwa,waste & pollution
sanctions%attorney fees,other-environmental,recover costs,cercla,waste & pollution
sanitary sewage discharge,toxic waste disposal%stormwater%creek,stipulate penalties,cwa,waste & pollution
santa margarita river,river,obtain right to flowing water,"fpa, rcra",waste & pollution
sarin%mustard blister agenet,toxic waste/pollution,recover damages,rcra,waste & pollution
section 6(a)(2) of the federal insecticide* fungicide* and rodenticide act,pesticide,challenge section of regulations,fifra,waste & pollution
sediment deposits in river%water quality,river%fauna,seeking damages,cwa,waste & pollution
sediment dumping,stream%river,determine liability,cwa,waste & pollution
sediment/waste deposits,river,compel waste removal,rivers and harbors act,waste & pollution
seeds,flora,challenge contract,rcra,waste & pollution
seek damages from injury to her land from bia and stop construction of roadwork,land,recover damages%stop construction,cwa,waste & pollution
seek information,landfill,force subpoena,cercla,waste & pollution
selenium dischage,waterbodies,press charges,cwa,waste & pollution
sensitive documents,groundwater,recover costs,cercla,waste & pollution
sentencing correctness,environmental,vacate or correct sentence,"cwa, rcra, cercla",waste & pollution
service of defendants,toxic waste disposal,recover damages,cercla,waste & pollution
settlement and recovery,waste%other environmental,recover damages,"sdwa, cwa, rcra",waste & pollution
settlement in cercla case,toxic waste cleanup,approval for settlement agreement,cercla,waste & pollution
several million pounds of toxic waste dumped at site,toxic waste disposal,recover cleanup costs,cercla,waste & pollution
sewage,river%fauna,stop pollution,"cwa, esa",waste & pollution
sewage,river,recover damages,"cwa, rcra, cwa",waste & pollution
sewage,clean water,stop releases,"cwa, czma, nepa",waste & pollution
sewage collection system,water,stop water pollution,cwa,waste & pollution
sewage discharge into river,river,stop pollution,cwa,waste & pollution
sewage discharges to surface waters,water,challenge violations,cwa,waste & pollution
sewage disposal system,river,stop dumping,"cwa, cwa",waste & pollution
sewage dumping,beach,stop dumping,"cwa, mprsa",waste & pollution
sewage overflow,creek%stormwater,stop pollution,cwa,waste & pollution
sewage pipe,river,recover damages,rivers and harbors act,waste & pollution
sewage pipeline,waterbodies,stop construction,"cwa, nepa",waste & pollution
sewage plant,wetlands,restore habitat%mitigate damages,cwa,waste & pollution
sewage system,water source,stop pollution,cwa,waste & pollution
sewage system contamination,toxic waste,contamination relief,"cwa, cwa",waste & pollution
sewage system maintenance,other-environmental,recover costs from poor sewer system,"cwa, cwa",waste & pollution
sewage systems,creek,stop pollution,"cwa, cwa",waste & pollution
sewage treatment,clean groundwater,upgrade treatment facility,cwa,waste & pollution
sewage treatment facility,sewage%water pollution,seeking damages,cwa,waste & pollution
sewage treatment plant,river,stop construction,"nepa, cwa",waste & pollution
sewage treatment waste,river,stop pollution,cwa,waste & pollution
sewage%contract law,waste dumping,recover damages,cercla,waste & pollution
sewer rental fees,sewage,enforce tax,cwa,waste & pollution
sewer sanction,water%pollution,stop violations,"cwa, rcra",waste & pollution
shipping hazardous material,hazardous waste,establish liability,cercla,waste & pollution
shooting site,clean water,motion to file amicua curaie,"cwa, rcra",waste & pollution
shopping center,land%toxic waste disposal,recover cleanup costs,"cercla, rcra",waste & pollution
shopping center construction,creek%fauna,stop construction%stop pollution,"esa, cwa",waste & pollution
shopping mall,toxic waste disposal,seek damages,cercla,waste & pollution
show cause order,toxic waste disposal%petroleum,show cause order,cercla,waste & pollution
siezure of land,land,hold rehearing,rcra,waste & pollution
significant contamination cleanup%motion to dismiss for lack of evidence,radioactive contamination%determine liability,motion to dismiss from defendants,cercla,waste & pollution
simplot's smoky canyon mine,forest%flora,stop extraction,"cercla, nepa",waste & pollution
sip revisions to caa compliance,air pollution,seeking damages,caa,waste & pollution
site cleanup,toxic waste disposal,seeking damages%determine liability,"cercla, rcra, cwa, cwa, sdwa",waste & pollution
site contamination,toxic waste disposal%water,recover cleanup costs,"cercla, rcra",waste & pollution
site disposal,toxic waste,indemnification for response costs,cercla,waste & pollution
site disposal,toxic waste,indemnification for response costs,"cercla, rcra",waste & pollution
site of airport,groundwater%toxic waste,hold defendant liable for clean up and costs,cercla,waste & pollution
site project,open space%clean water,stop permit application,"nepa, cwa, esa",waste & pollution
skimmer,ocean%petroleum,recover clean up costs,opa,waste & pollution
sludge incinerator system,clean water,allow equipment use,cwa,waste & pollution
smelter,clean water,violations of cercla,cercla,waste & pollution
smelting facility,clean air%clean water%toxic pollution,stop releases and emissions,"rcra, caa, cwa, epcra",waste & pollution
smoke stack emissions,clean air,stop air pollution,caa,waste & pollution
soil and groundwater contamination,water%toxic waste,establish coverage and liability,cercla,waste & pollution
soil contamination,pond%wastewater%agricultural land,oppose coverage claims,cwa,waste & pollution
soil contamination%chemical spills,hazardous substances,seeking damages,"rcra, cercla",waste & pollution
soil disposal from cercla site,toxic waste disposal,stop soil disposal,"cercla, rcra",waste & pollution
soil pollution%groundwater%wells,toxic waste disposal%clean water,recover cleanup costs,cercla,waste & pollution
soil samples,clean air,violations of cwa,"cercla, caa",waste & pollution
soil%groundwater,hazardous waste,establish liability,"cercla, rcra",waste & pollution
solar energy farm,solar panels,recover damages,rcra,waste & pollution
solid waste,toxic waste disposal,recover costs,"rcra, cwa, cercla",waste & pollution
solid waste disposal,toxic waste disposal,waste relief,rcra,waste & pollution
solid waste disposal,landfill,recover damages,"cercla, rcra, cwa, cwa, sdwa",waste & pollution
solid waste disposal,pollution,recover compensation,"cercla, rcra",waste & pollution
solid waste dump,toxic waste,damage relief,rcra,waste & pollution
solid waste management,solid waste,stop from suspending license%stop enforcing regulations,rcra,waste & pollution
source of contamination,toxic waste disposal,stop contamination,rcra,waste & pollution
sovereign immunity,clean water,reconsider complaints,"cwa, cercla, epcra",waste & pollution
special use permit for ditches and verification of water rights,land%water,enforce laws,"nepa, nfma, cwa, flpma",waste & pollution
species habitat management plan,river,protect habitat,"esa, cercla",waste & pollution
specific emission standards as defined in the clean air act,clean air,prove excess use of statutory authority,caa,waste & pollution
spent lead-acid batteries,toxic product,impose liablity,cercla,waste & pollution
splitting cercla liability,drinking water%land,determine liability,cercla,waste & pollution
st. andrews landfill,toxic waste disposal,recover costs,"cercla, sdwa, rcra, cwa",waste & pollution
standard of liability for hazardous waste,hazardous waste disposal,cleanup liability%motion for reconsideration,cercla,waste & pollution
state and federal policy,mine%coastline,establish permit,"czma, cwa",waste & pollution
